trip_id,taxi_id,trip_seconds,trip_miles,trip_tips},trip_tolls,trip_extras,trip_total,trip_start_hour,trip_end_hour,trip_junk,trip_location_grid_start,trip_location_grid_end
00013d07ebd2623357fb789340ca1d1f878214f1,a5c7281e5955cd080d583276ceabbc36c5d3e6c74367c5815a5bcc2059477f033b852a82cbeb0636cca0df558def79ff3e028858c827ed71ef17bec496fb6657,1791,14.18,8.25,0.00,4.00,49.50,18,19,20,8,19
00016c7bd05f8a52418746ad7114aac33c1b95a1,9a8899dcdf0d6b8a716018392bed8c6dafe929b0b7ea7d2699742d9dc84a2755dffbcfab23f3c730acfdb729bde6a509479084b3eb294f0aa17c4672e6058bfb,283,0.78,3.00,0.00,0.00,9.00,20,20,4,4,4
00017412c140cb13fa159163fb999a370d7bee91,2981edd199f55bdc8b5ed188de69e9f5d8116ae8d7a434fa0574d57740840e697755e4e77bb4ce8265289b6548d53674a5ac16dde44c3cf653e3ce1c8e064265,420,1.3,0.00,0.00,0.00,6.75,9,10,17,22,27
0001a1671305c801726f9d6eb4b88f08e3e503ef,8c6ee294a0e09da00928b34a8b0712406e928b55ee8677e0e2f270b1416e617821bf4c4b7af487857d30d090922ba355a68e80aadda461e1e1493f1107ad2c16,283,0.72,2.14,0.00,0.00,11.50,21,22,21,16,16
0001da3e8df7065d1778364602c439d83680766e,1db306716ecb966d2be83feac87739625d3ca11269115cbdd43bb42801e4235d0a15ea6234a01028a2fadc80f25341db37cd8d708b2f24fc246f6e97f071265c,401,0.94,0.00,0.00,0.00,6.50,23,24,22,4,4
0001e602142d5f2395d1d6acf7ce1af65e6ca013,9ff09a41e365a08e3a1f837d352c1503eea1d454c4a336316a76917d8bdc5d4c31debb1cfd67470768497f2e709e3f74c7467db3c9e06357be1442b8491e001f,660,1.8,0.00,0.00,1.00,9.75,18,18,7,26,28
000221d0efcc6e89c8e3ce738ca000bbf4cce025,02829774801528933cdce279a9ebc9dbab805ccd5e5b52860acaa53190604383d665adc8aa2ecc688f3df94b81b4687759048958d54d63beaa506e72cf7f1250,1062,11.5,0.00,0.00,0.00,29.25,25,26,19,20,15
00023ba8ab12c52ad3d6bf97652917c13a4ee949,69230e3638e9ea3a77076d871e92727cfeaccd6d5410eb5d4701e03cb1b20e0d872d2c89ca6addd9c4c565c3f9a8dab2946c1134b0bc83bb58dbf1e492c72833,6,0,2.84,0.00,0.00,15.36,9,9,23,21,21
00026c3c2b8eac2f7dbf220bf8b3684646a683b4,99581bb3b95a57c5b93a1e80bf29a254cd0a4635a0bc9730abf1e4353688ae22acef25d358df9e8c482cc14881b382cd9b366dfe020e5e2fbc9ec8c0e9486a1b,1740,17.2,11.80,0.00,4.00,58.55,27,28,11,8,21
00026cfeb245fc172534a10505c0cf8b31436ab9,d75005ed5795e5ef2283f7e9178838ec58c0b2138a009eadb0b13ba68a592c6b1451ed1fc8a94844d3da78137a4bb498e92fdaeceb1c2843c03331f3f5f634ee,1260,14.4,9.15,0.00,0.00,45.40,29,18,1,29,14
0002b04040be023353f69b15d0b7efd54c6f3399,d0cd60cfd2405562733ddd1ea3aba9be5ce4f20bc622c57029350c1d6e68bd1408f0916305edc1ade79275bd4022b980e22729ac9ca7f859864e8e02d6afc3f8,817,5.22,4.99,0.00,0.00,27.17,29,30,23,30,31
